Group Size,Best Estimate (Assumes 40% of Infections are Asymp/Presymp),Estimate Range (Assumes 10-70% of Infections are Asymp/Presymp),Date Updated: 11-23-2020
728,3.89,0.97-6.82,
729,3.90,0.97-6.83,
730,3.90,0.97-6.84,
731,3.91,0.97-6.85,
732,3.91,0.97-6.85,
733,3.92,0.98-6.86,
734,3.93,0.98-6.87,
735,3.93,0.98-6.88,
736,3.94,0.98-6.89,
737,3.94,0.98-6.90,
738,3.95,0.98-6.91,
739,3.95,0.98-6.92,
740,3.96,0.99-6.93,
741,3.96,0.99-6.94,
742,3.97,0.99-6.95,
743,3.97,0.99-6.96,
744,3.98,0.99-6.97,
745,3.98,0.99-6.98,
746,3.99,0.99-6.99,
747,4.00,1.00-7.00,
748,4.00,1.00-7.00,
749,4.01,1.00-7.01,
750,4.01,1.00-7.02,
751,4.02,1.00-7.03,
752,4.02,1.00-7.04,
753,4.03,1.00-7.05,
754,4.03,1.00-7.06,
755,4.04,1.01-7.07,
756,4.04,1.01-7.08,
757,4.05,1.01-7.09,
758,4.05,1.01-7.10,
759,4.06,1.01-7.11,
760,4.06,1.01-7.12,
761,4.07,1.01-7.13,
762,4.08,1.02-7.14,
763,4.08,1.02-7.15,
764,4.09,1.02-7.15,
765,4.09,1.02-7.16,
766,4.10,1.02-7.17,
767,4.10,1.02-7.18,
768,4.11,1.02-7.19,
769,4.11,1.02-7.20,
770,4.12,1.03-7.21,
771,4.12,1.03-7.22,
772,4.13,1.03-7.23,
773,4.13,1.03-7.24,
774,4.14,1.03-7.25,
775,4.15,1.03-7.26,
776,4.15,1.03-7.27,
777,4.16,1.04-7.28,
778,4.16,1.04-7.29,
779,4.17,1.04-7.30,
780,4.17,1.04-7.30,
781,4.18,1.04-7.31,
782,4.18,1.04-7.32,
783,4.19,1.04-7.33,
784,4.19,1.04-7.34,
785,4.20,1.05-7.35,
786,4.20,1.05-7.36,
787,4.21,1.05-7.37,
788,4.21,1.05-7.38,
789,4.22,1.05-7.39,
790,4.23,1.05-7.40,
791,4.23,1.05-7.41,
792,4.24,1.06-7.42,
793,4.24,1.06-7.43,
794,4.25,1.06-7.44,
795,4.25,1.06-7.45,
796,4.26,1.06-7.45,
797,4.26,1.06-7.46,
798,4.27,1.06-7.47,
799,4.27,1.06-7.48,
800,4.28,1.07-7.49,
801,4.28,1.07-7.50,
802,4.29,1.07-7.51,
803,4.30,1.07-7.52,
804,4.30,1.07-7.53,
805,4.31,1.07-7.54,
806,4.31,1.07-7.55,
807,4.32,1.08-7.56,
808,4.32,1.08-7.57,
809,4.33,1.08-7.58,
810,4.33,1.08-7.59,
811,4.34,1.08-7.60,
812,4.34,1.08-7.60,
813,4.35,1.08-7.61,
814,4.35,1.08-7.62,
815,4.36,1.09-7.63,
816,4.36,1.09-7.64,
817,4.37,1.09-7.65,
818,4.38,1.09-7.66,
819,4.38,1.09-7.67,
820,4.39,1.09-7.68,
821,4.39,1.09-7.69,
822,4.40,1.10-7.70,
823,4.40,1.10-7.71,
824,4.41,1.10-7.72,
825,4.41,1.10-7.73,
826,4.42,1.10-7.74,
827,4.42,1.10-7.75,
828,4.43,1.10-7.75,
829,4.43,1.10-7.76,
830,4.44,1.11-7.77,
831,4.45,1.11-7.78,
832,4.45,1.11-7.79,
833,4.46,1.11-7.80,
834,4.46,1.11-7.81,
835,4.47,1.11-7.82,
836,4.47,1.11-7.83,
837,4.48,1.12-7.84,
838,4.48,1.12-7.85,
839,4.49,1.12-7.86,
840,4.49,1.12-7.87,
841,4.50,1.12-7.88,
842,4.50,1.12-7.89,
843,4.51,1.12-7.90,
844,4.51,1.12-7.90,
845,4.52,1.13-7.91,
846,4.53,1.13-7.92,
847,4.53,1.13-7.93,
848,4.54,1.13-7.94,
849,4.54,1.13-7.95,
850,4.55,1.13-7.96,
851,4.55,1.13-7.97,
852,4.56,1.14-7.98,
853,4.56,1.14-7.99,
854,4.57,1.14-8.00,
855,4.57,1.14-8.01,
856,4.58,1.14-8.02,
857,4.58,1.14-8.03,
858,4.59,1.14-8.04,
859,4.60,1.15-8.05,
860,4.60,1.15-8.05,
861,4.61,1.15-8.06,
862,4.61,1.15-8.07,
863,4.62,1.15-8.08,
864,4.62,1.15-8.09,
865,4.63,1.15-8.10,
866,4.63,1.15-8.11,
867,4.64,1.16-8.12,
868,4.64,1.16-8.13,
869,4.65,1.16-8.14,
870,4.65,1.16-8.15,
871,4.66,1.16-8.16,
872,4.66,1.16-8.17,
873,4.67,1.16-8.18,
874,4.68,1.17-8.19,
875,4.68,1.17-8.19,
876,4.69,1.17-8.20,
877,4.69,1.17-8.21,
878,4.70,1.17-8.22,
879,4.70,1.17-8.23,
880,4.71,1.17-8.24,
881,4.71,1.17-8.25,
882,4.72,1.18-8.26,
883,4.72,1.18-8.27,
884,4.73,1.18-8.28,
885,4.73,1.18-8.29,
886,4.74,1.18-8.30,
887,4.74,1.18-8.31,
888,4.75,1.18-8.32,
889,4.76,1.19-8.33,
890,4.76,1.19-8.34,
891,4.77,1.19-8.34,
892,4.77,1.19-8.35,
893,4.78,1.19-8.36,
894,4.78,1.19-8.37,
895,4.79,1.19-8.38,
896,4.79,1.19-8.39,
897,4.80,1.20-8.40,
898,4.80,1.20-8.41,
899,4.81,1.20-8.42,
900,4.81,1.20-8.43,
901,4.82,1.20-8.44,
902,4.83,1.20-8.45,
903,4.83,1.20-8.46,
904,4.84,1.21-8.47,
905,4.84,1.21-8.48,
